"ts","open","high","low","close","volume"
"1739739600000","96935.93","96983.63","96935.84","96966.71","0.908529"
"1739739900000","96966.71","97022.07","96955.04","97022.05","0.23574"
"1739740200000","97022.05","97043.34","96888.41","96903.49","0.921105"
"1739740500000","96903.49","96947.79","96881.68","96940.38","1.864808"
"1739740800000","96940.38","96940.38","96867.78","96936.89","1.843242"
"1739741100000","96936.89","97012.87","96910.27","96998.01","1.664146"
"1739741400000","96998.01","97097.79","96997.74","97069.63","0.640999"
"1739741700000","97069.63","97295.27","97069.63","97230.96","3.64564"
"1739742000000","97230.96","97232.13","97155.55","97192.04","1.259345"
"1739742300000","97192.04","97197.13","97108.59","97165.9","1.343196"
"1739742600000","97165.9","97191.31","97142.46","97150.51","0.381392"
"1739742900000","97150.51","97183.46","97131.21","97183.15","0.218416"
"1739743200000","97183.15","97197.79","97143.64","97143.64","0.403179"
"1739743500000","97143.64","97198","97131","97132.03","0.213531"
"1739743800000","97132.03","97132.1","97096.69","97112.43","0.265037"
"1739744100000","97112.43","97112.56","97064.51","97103.2","0.270886"
"1739744400000","97103.2","97103.2","97059.2","97059.21","0.466606"
"1739744700000","97059.21","97059.21","96717.33","96894.24","4.540571"
"1739745000000","96894.24","96936.09","96685.23","96685.26","1.309001"
"1739745300000","96685.26","96790.7","96624.04","96750.27","2.875705"
"1739745600000","96750.27","96832.07","96750","96821.39","0.417545"
"1739745900000","96821.39","96931.01","96789","96913.52","1.825896"
"1739746200000","96913.52","96949.57","96854.46","96949.57","1.27556"
"1739746500000","96949.57","96980.71","96875","96891.79","2.94258"
"1739746800000","96891.79","96897.09","96377","96509","10.555644"
"1739747100000","96509","96509.1","96367.79","96426.95","6.631912"
"1739747400000","96426.95","96426.95","96353.06","96375.59","4.724242"
"1739747700000","96375.59","96408.33","96274.37","96408.33","4.456991"
"1739748000000","96408.33","96475.18","96367.18","96415.21","1.778899"
"1739748300000","96415.21","96415.21","96181.96","96272.29","4.363577"
"1739748600000","96272.29","96272.29","96141.82","96219.18","4.862889"
"1739748900000","96219.18","96235.27","96113.58","96226.52","5.048562"
"1739749200000","96226.52","96246.71","96074.48","96191.74","2.185792"
"1739749500000","96191.74","96206.26","96055.17","96142.56","2.07704"
"1739749800000","96142.56","96161.15","96065.68","96140.83","3.636106"
"1739750100000","96140.83","96229.69","96140.83","96146.76","1.650242"
"1739750400000","96146.76","96267.51","96051","96187.62","6.393031"
"1739750700000","96187.62","96305.91","96132.96","96293.02","4.385506"
"1739751000000","96293.02","96293.13","96192.09","96208.88","2.141449"
"1739751300000","96208.88","96339.12","96179.85","96338.95","3.348904"
"1739751600000","96338.95","96446.96","96326.35","96360.16","2.928345"
"1739751900000","96360.16","96435.66","96335.56","96417.02","1.898849"
"1739752200000","96417.02","96455.12","96338.2","96385.94","1.151587"
"1739752500000","96385.94","96467.26","96375.01","96407.01","1.03988"
"1739752800000","96407.01","96432.1","96379.11","96381.19","1.799894"
"1739753100000","96381.19","96391.97","96267.41","96284.94","4.227004"
"1739753400000","96284.94","96313","96183.29","96295.17","1.401882"
"1739753700000","96295.17","96349.47","96294.01","96301.03","0.454578"
"1739754000000","96301.03","96345.87","96189.41","96345.87","1.260448"
"1739754300000","96345.87","96345.87","96268.87","96296.25","0.468891"
"1739754600000","96296.25","96467.26","96296.1","96413.92","6.74784"
"1739754900000","96413.92","96443.75","96288.14","96332.07","0.880016"
"1739755200000","96332.07","96332.07","96181.96","96197.43","2.993732"
"1739755500000","96197.43","96260.22","96105.7","96260.11","2.48794"
"1739755800000","96260.11","96339.88","96243.87","96339.85","0.804474"
"1739756100000","96339.85","96397.94","96334.9","96344.01","1.854461"
"1739756400000","96344.01","96353.17","96276.25","96329.9","1.30074"
"1739756700000","96329.9","96417.46","96305.1","96417.46","1.140395"
"1739757000000","96417.46","96524.66","96381.7","96512.27","3.169212"
"1739757300000","96512.27","96560.08","96503.67","96522.27","4.367004"
"1739757600000","96522.27","96660.19","96522.05","96600","2.460077"
"1739757900000","96600","96600.1","96471.72","96479","1.293877"
"1739758200000","96479","96520.07","96421.94","96457.2","1.157163"
"1739758500000","96457.2","96457.2","96344.99","96395.65","1.643801"
"1739758800000","96395.65","96467.25","96395.65","96467.25","2.246435"
"1739759100000","96467.25","96490.85","96457.47","96487.5","0.615542"
"1739759400000","96487.5","96495.59","96367.88","96367.95","5.133092"
"1739759700000","96367.95","96424.85","96367.95","96423.15","1.845662"
"1739760000000","96423.15","96423.22","96307.02","96327.21","2.260156"
"1739760300000","96327.21","96348.15","96308.98","96317.8","2.00746"
"1739760600000","96317.8","96317.8","96232.21","96235.23","0.556704"
"1739760900000","96235.23","96256.85","96185.27","96256.82","0.729928"
"1739761200000","96256.82","96256.87","96182.75","96182.75","1.141872"
"1739761500000","96182.75","96235.17","96166.14","96166.21","1.150976"
"1739761800000","96166.21","96188.4","96166.14","96181.17","1.2058"
"1739762100000","96181.17","96181.28","96084","96134.09","3.554893"
"1739762400000","96134.09","96164.3","96130.11","96159.18","1.676627"
"1739762700000","96159.18","96208.26","96158.93","96207.95","0.855954"
