"ts","open","high","low","close","volume"
"1739739600000","2671.15","2674.36","2670.99","2674.36","17.21192"
"1739739900000","2674.36","2676.84","2673.52","2675.96","15.50322"
"1739740200000","2675.96","2676.34","2664.82","2666.99","95.43803"
"1739740500000","2666.99","2667.83","2665.17","2667.68","41.15228"
"1739740800000","2667.68","2668.76","2664.78","2666.7","45.40821"
"1739741100000","2666.7","2674.37","2666.64","2672.2","62.68923"
"1739741400000","2672.2","2678.92","2672.11","2677.53","49.6518"
"1739741700000","2677.53","2686.96","2677.53","2686.03","56.79981"
"1739742000000","2686.03","2688.93","2682.37","2688.67","51.49674"
"1739742300000","2688.67","2688.67","2684.63","2685.67","23.79946"
"1739742600000","2685.67","2687.18","2685.53","2686","9.97849"
"1739742900000","2686","2688.09","2683.85","2686.86","18.0117"
"1739743200000","2686.86","2687.91","2685.13","2685.14","16.17291"
"1739743500000","2685.14","2687.05","2681.9","2683.04","14.85031"
"1739743800000","2683.04","2685.65","2679.65","2685.63","25.50259"
"1739744100000","2685.63","2685.82","2682.53","2685.39","20.24127"
"1739744400000","2685.39","2685.39","2681.72","2681.93","22.68613"
"1739744700000","2681.93","2681.96","2671.11","2677.28","71.27342"
"1739745000000","2677.28","2679.35","2668.67","2668.9","45.99376"
"1739745300000","2668.9","2674.63","2664.67","2672.55","129.89742"
"1739745600000","2672.55","2673.2","2672.12","2672.88","17.62567"
"1739745900000","2672.88","2677.39","2671.7","2677.25","22.87007"
"1739746200000","2677.25","2679.36","2676.93","2679.28","23.45109"
"1739746500000","2679.28","2680.86","2678.02","2679.62","23.56969"
"1739746800000","2679.62","2679.73","2652.48","2666.4","934.26359"
"1739747100000","2666.4","2666.48","2661.43","2662.41","85.79554"
"1739747400000","2662.41","2662.59","2657.26","2661.37","41.01845"
"1739747700000","2661.37","2661.89","2657.34","2661.77","96.67974"
"1739748000000","2661.77","2665.83","2661.7","2664.45","20.34504"
"1739748300000","2664.45","2664.66","2659.91","2664.63","46.31678"
"1739748600000","2664.63","2667.78","2663.72","2667.74","57.85518"
"1739748900000","2667.74","2668.45","2665.26","2667.12","30.27352"
"1739749200000","2667.12","2667.34","2661.77","2663.3","16.46852"
"1739749500000","2663.3","2663.82","2658.13","2660.38","25.69191"
"1739749800000","2660.38","2663.91","2657.85","2658.46","118.27953"
"1739750100000","2658.46","2663.68","2658.46","2662.81","11.13069"
"1739750400000","2662.81","2666.69","2659.51","2665.24","34.6202"
"1739750700000","2665.24","2669.22","2662.96","2668.29","33.31125"
"1739751000000","2668.29","2669.41","2664.56","2664.86","15.31567"
"1739751300000","2664.86","2667.7","2661.89","2666.9","435.41693"
"1739751600000","2666.9","2670.71","2665.6","2668.52","33.29871"
"1739751900000","2668.52","2668.54","2664.94","2668.35","23.56717"
"1739752200000","2668.35","2670.13","2666.38","2668.94","9.24602"
"1739752500000","2668.94","2672.7","2668.76","2671","11.04877"
"1739752800000","2671","2671.38","2669.31","2670.76","8.57555"
"1739753100000","2670.76","2671.39","2663.77","2666.28","29.90699"
"1739753400000","2666.28","2670.44","2663.68","2670.39","13.97525"
"1739753700000","2670.39","2671.57","2669.42","2671.34","5.39681"
"1739754000000","2671.34","2672.7","2668.58","2670.03","8.30019"
"1739754300000","2670.03","2670.1","2668.53","2669.32","8.31632"
"1739754600000","2669.32","2674.13","2667.44","2673.25","27.98504"
