"ts","open","high","low","close","volume"
"1739739600000","188.2904","188.4575","188.2886","188.4496","114.57"
"1739739900000","188.4496","188.4506","188.4455","188.4465","82.49"
"1739740200000","188.4465","188.4494","186.4586","186.6238","1284.32"
"1739740500000","186.6238","186.6262","186.6105","186.6128","587.35"
"1739740800000","186.6128","187.31","186.6114","187.3071","254"
"1739741100000","187.3071","187.6954","187.0317","187.6423","150.05"
"1739741400000","187.6423","188.8055","187.6417","188.7162","375.41"
"1739741700000","188.7162","190.1166","188.7152","189.4946","375.17"
"1739742000000","189.4946","189.905","189.3909","189.905","133.29"
"1739742300000","189.905","189.905","188.7196","189.0551","104.04"
"1739742600000","189.0551","189.0575","188.9167","188.9182","147.17"
"1739742900000","188.9182","188.9183","188.681","188.8921","39.69"
"1739743200000","188.8921","189.1323","188.8785","189.1301","178.83"
"1739743500000","189.1301","189.1301","188.8863","188.8874","66.36"
"1739743800000","188.8874","188.888","188.3295","188.6477","225.23"
"1739744100000","188.6477","189.2739","188.6477","188.8478","209.44"
"1739744400000","188.8478","188.8498","188.8196","188.8202","37.7"
"1739744700000","188.8202","188.8211","187.4734","187.8742","499.99"
"1739745000000","187.8742","187.8806","187.3231","187.4562","176.4"
"1739745300000","187.4562","187.9874","187.4554","187.9041","110.18"
"1739745600000","187.9041","188.44","187.9041","187.9715","144.74"
"1739745900000","187.9715","188.2401","187.9676","188.2384","39.79"
"1739746200000","188.2384","188.618","188.2384","188.618","112.08"
"1739746500000","188.618","188.7431","188.618","188.7411","109.45"
"1739746800000","188.7411","188.7442","187.87","188.4199","585.07"
"1739747100000","188.4199","188.741","188.4199","188.7243","179.62"
"1739747400000","188.7243","188.7258","188.7127","188.7148","101.59"
"1739747700000","188.7148","188.7158","188.3618","188.5032","99.22"
"1739748000000","188.5032","189.314","188.483","189.314","302.65"
"1739748300000","189.314","189.314","188.4881","188.581","227.53"
"1739748600000","188.581","188.739","188.581","188.738","209.93"
"1739748900000","188.738","188.9716","188.7376","188.9716","128.91"
"1739749200000","188.9716","188.9753","188.9668","188.9719","73.8"
"1739749500000","188.9719","188.9777","188.5856","188.6713","106.16"
"1739749800000","188.6713","188.6771","188.4454","188.4475","127.5"
