side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
SHORT,2022-01-07 05:25:00+00:00,2022-01-07 05:40:00+00:00,2022-01-07 06:40:00+00:00,139.84202599000199,136.74696512105896,141.4383540890601,138.30164589093988,136.73329179187976,95.64166669369632,221.00928002415185,220.3405438021765,0.0,73.00089001207648,0.0,1.4475754721547884,TP2,True,0.6687362219753494,1.0,136.74696512105896,1.0
SHORT,2022-01-07 10:15:00+00:00,2022-01-07 10:20:00+00:00,2022-01-07 12:05:00+00:00,140.371919990002,140.428068757998,141.69449980103425,139.10550017896574,137.81100036793148,120.98125853640691,72.36859905454031,71.5194804773622,0.0,75.76507336325312,0.0,0.45228291065800047,STOP,True,0.8491185771781129,1.75,139.11941072898364,1.0
LONG,2022-01-08 23:35:00+00:00,2022-01-08 23:40:00+00:00,2022-01-08 23:55:00+00:00,143.528700010002,141.7059881319918,141.7626932092755,145.2373068107245,146.974613611449,91.38040596064053,-166.5601513618545,-167.8717224492462,0.0,0.0,0.0,-1.0321092066352076,STOP,False,1.3115710873916975,0.25,,1.0
SHORT,2022-01-09 15:40:00+00:00,2022-01-09 15:45:00+00:00,2022-01-09 16:00:00+00:00,139.532087990002,140.4223594771192,140.36621299192242,138.75378698807756,137.94757398615513,190.66877945203242,-169.74697782958035,-172.40741912072508,0.0,0.0,0.0,-1.0673118358369493,STOP,False,2.6604412911447275,0.25,,1.0
SHORT,2022-01-10 00:30:00+00:00,2022-01-10 00:35:00+00:00,2022-01-10 02:40:00+00:00,140.961801990002,141.01818671079798,142.6727579657637,139.3072420142363,137.6244840384726,88.27616842158771,69.92551850953967,69.30334012086567,0.0,72.41423206423515,0.0,0.4629705711927993,STOP,True,0.6221783886739957,2.0833333333333335,139.32117273843772,1.0
LONG,2022-01-11 04:30:00+00:00,2022-01-11 04:35:00+00:00,2022-01-11 04:45:00+00:00,136.747344010002,136.11671246945784,136.17118094183456,137.26881907816545,137.8176381463309,274.45570939875984,-173.08042682927967,-176.83353576014582,0.0,0.0,0.0,-1.09453655637799,STOP,False,3.7531089308661354,0.16666666666666666,,1.0
LONG,2022-01-12 05:55:00+00:00,2022-01-12 06:00:00+00:00,2022-01-12 06:05:00+00:00,140.318058010002,140.26193078679802,139.75852573424507,140.82147428575493,141.35294856150986,273.4309584517277,59.226089637483014,57.307724582995014,0.0,66.89954985543311,0.0,0.38711520665569693,STOP,True,1.9183650544879989,0.08333333333333333,140.80739213832635,1.0
LONG,2022-01-13 09:20:00+00:00,2022-01-13 09:25:00+00:00,2022-01-13 09:50:00+00:00,151.40027401000202,151.339713900398,150.8265209281918,151.91347909180823,152.45695817361644,270.5545756432384,59.177539842094525,57.12943799774222,0.0,67.36994721950524,0.0,0.3812211543272304,STOP,True,2.048101844352306,0.4166666666666667,151.89828774389903,1.0
LONG,2022-01-14 21:15:00+00:00,2022-01-14 21:30:00+00:00,2022-01-14 23:20:00+00:00,147.51949801000202,146.04551839781263,146.10395998180536,148.87604003819467,150.26208006638933,107.32347729039716,-158.19261743531706,-159.77584798477378,0.0,0.0,0.0,-1.0412857746161603,STOP,False,1.5832305494567243,1.8333333333333333,,1.0
SHORT,2022-01-17 06:35:00+00:00,2022-01-17 06:50:00+00:00,2022-01-17 07:35:00+00:00,143.01139199000198,143.72405148221324,143.66658484827394,142.41341513172603,141.78683027345207,229.7555680591377,-163.73748646573438,-167.02325282629346,0.0,0.0,0.0,-1.0877094937983063,STOP,False,3.285766360559092,0.75,,1.0
LONG,2022-01-19 01:05:00+00:00,2022-01-19 01:10:00+00:00,2022-01-19 01:45:00+00:00,140.758146010002,142.209414200688,139.98318173282777,141.47681828717222,142.22363656434445,186.05685842521936,200.55001659201298,199.24056566979402,0.0,65.54081644626886,0.0,1.3908981675182464,TP2,True,1.3094509222189652,0.5833333333333334,142.209414200688,1.0
