side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
SHORT,2022-01-07 05:25:00+00:00,2022-01-07 05:40:00+00:00,2022-01-07 06:40:00+00:00,139.856012990001,136.74696512105896,141.4383540890601,138.30164589093988,136.73329179187976,7.970138891141361,18.528918334675232,17.58885883096126,0.8843259112993926,6.1391466673376645,0.2204787109913806,1.469210654447017,TP2,True,0.055733592414578925,1.0,136.74696512105896,1.0
SHORT,2022-01-07 10:15:00+00:00,2022-01-07 10:20:00+00:00,2022-01-07 12:05:00+00:00,140.385959990001,140.414037181999,141.69449980103425,139.10550017896574,137.81100036793148,9.826081569856951,6.084663786086899,4.914570341595573,1.1011212497851046,6.222608175499311,0.2733997355546851,0.47322674425986205,STOP,True,0.06897219470622121,1.75,139.11941072898364,1.0
LONG,2022-01-08 23:35:00+00:00,2022-01-08 23:40:00+00:00,2022-01-08 23:55:00+00:00,143.514350010001,141.73434067063366,141.7626932092755,145.2373068107245,146.974613611449,7.35695782652026,-13.095453640537809,-14.040461577553234,0.8394250349630208,0.0,0.0,-1.0161861265460856,STOP,False,0.10558290205240449,0.25,,1.0
SHORT,2022-01-09 15:40:00+00:00,2022-01-09 15:45:00+00:00,2022-01-09 16:00:00+00:00,139.54604399000098,140.39428623452082,140.36621299192242,138.75378698807756,137.94757398615513,15.635802281628813,-13.26294802223723,-15.231976119156144,1.7508366616178006,0.0,0.0,-1.0342286071926974,STOP,False,0.2181914353011132,0.25,,1.0
SHORT,2022-01-10 00:30:00+00:00,2022-01-10 00:35:00+00:00,2022-01-10 02:40:00+00:00,140.975900990001,141.004096170199,142.6727579657637,139.3072420142363,137.6244840384726,7.377999434418644,6.000280040298155,5.118578052209021,0.8296959822005897,6.104292052075232,0.20558230673334715,0.4792781874365684,STOP,True,0.052006005888544315,2.0833333333333335,139.32117273843772,1.0
LONG,2022-01-11 04:30:00+00:00,2022-01-11 04:35:00+00:00,2022-01-11 04:45:00+00:00,136.73367201000102,136.1439467056462,136.17118094183456,137.26881907816545,137.8176381463309,22.738586071391314,-13.409519591549717,-16.202373116584216,2.481940488048818,0.0,0.0,-1.0484171886980402,STOP,False,0.3109130369856798,0.16666666666666666,,1.0
LONG,2022-01-11 15:50:00+00:00,2022-01-11 15:55:00+00:00,2022-01-11 16:10:00+00:00,136.683667010001,138.88603584660117,135.55503709540744,137.78496292459255,138.8999258391851,11.010985024223693,18.112444142047785,16.825930625463332,1.2112624260592983,5.987319003236982,0.3033992897019146,1.457469012809256,TP2,True,0.07525109052515495,0.25,138.88603584660117,1.0
LONG,2022-01-12 05:55:00+00:00,2022-01-12 06:00:00+00:00,2022-01-12 06:05:00+00:00,140.304029010001,140.275968204199,139.75852573424507,140.82147428575493,141.35294856150986,23.495331114990158,5.5836927237051155,2.7794430710120492,2.6394251717752084,5.913341685540821,0.6616632603456479,0.4356548747252909,STOP,True,0.16482448091785792,0.08333333333333333,140.80739213832635,1.0
LONG,2022-01-13 09:20:00+00:00,2022-01-13 09:25:00+00:00,2022-01-13 09:50:00+00:00,151.38513701000102,151.354859982599,150.8265209281918,151.91347909180823,152.45695817361644,23.0402743095237,5.56277132726223,2.5957843981003617,2.792589175007106,5.911566835571842,0.6999556433532791,0.43220533942748235,STOP,True,0.17439775415476258,0.4166666666666667,151.89828774389903,1.0
LONG,2022-01-14 21:15:00+00:00,2022-01-14 21:30:00+00:00,2022-01-14 23:20:00+00:00,147.504749010001,146.074739189809,146.10395998180536,148.87604003819467,150.26208006638933,9.057714190028033,-12.952620240232497,-14.149889464520372,1.0636636384674347,0.0,0.0,-1.0208602376290674,STOP,False,0.13360558582044096,1.8333333333333333,,1.0
SHORT,2022-01-17 06:35:00+00:00,2022-01-17 06:50:00+00:00,2022-01-17 07:35:00+00:00,143.025695990001,143.6953181652436,143.66658484827394,142.41341513172603,141.78683027345207,19.753877945782342,-13.22763471953176,-15.77570670094692,2.2655407672454535,0.0,0.0,-1.0448335411027332,STOP,False,0.28253121416970506,0.75,,1.0
