side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
SHORT,2022-01-07 05:25:00+00:00,2022-01-07 05:40:00+00:00,2022-01-07 06:40:00+00:00,139.84202599000199,136.74696512105896,141.4383540890601,138.30164589093988,136.73329179187976,7.970138891141361,18.417440002012654,18.36171198351471,0.0,6.083407501006374,0.0,1.4475754721547884,TP2,True,0.05572801849794579,1.0,136.74696512105896,1.0
SHORT,2022-01-07 10:15:00+00:00,2022-01-07 10:20:00+00:00,2022-01-07 12:05:00+00:00,140.371919990002,140.428068757998,141.69449980103425,139.10550017896574,137.81100036793148,9.833544424872125,5.882232028148618,5.813214352587304,0.0,6.158302730393903,0.0,0.4522829106580006,STOP,True,0.06901767556131401,1.75,139.11941072898364,1.0
LONG,2022-01-08 23:35:00+00:00,2022-01-08 23:40:00+00:00,2022-01-08 23:55:00+00:00,143.528700010002,141.7059881319918,141.7626932092755,145.2373068107245,146.974613611449,7.3689843232424295,-13.431535254845008,-13.537301328875914,0.0,0.0,0.0,-1.0321092066352078,STOP,False,0.10576607403090704,0.25,,1.0
SHORT,2022-01-09 15:40:00+00:00,2022-01-09 15:45:00+00:00,2022-01-09 16:00:00+00:00,139.532087990002,140.4223594771192,140.36621299192242,138.75378698807756,137.94757398615513,15.669519447672979,-13.950126381091545,-14.16876645772492,0.0,0.0,0.0,-1.0673118358369493,STOP,False,0.21864007663337534,0.25,,1.0
SHORT,2022-01-10 00:30:00+00:00,2022-01-10 00:35:00+00:00,2022-01-10 02:40:00+00:00,140.961801990002,141.01818671079798,142.6727579657637,139.3072420142363,137.6244840384726,7.402051222616116,5.863329582948098,5.811159259009985,0.0,6.072010878700509,0.0,0.4629705711927992,STOP,True,0.05217032393811326,2.0833333333333335,139.32117273843772,1.0
LONG,2022-01-11 04:30:00+00:00,2022-01-11 04:35:00+00:00,2022-01-11 04:45:00+00:00,136.747344010002,136.11671246945784,136.17118094183456,137.26881907816545,137.8176381463309,22.828106655415333,-14.396124067810918,-14.708292363201428,0.0,0.0,0.0,-1.0945365563779899,STOP,False,0.31216829539050966,0.16666666666666666,,1.0
LONG,2022-01-11 15:50:00+00:00,2022-01-11 15:55:00+00:00,2022-01-11 16:10:00+00:00,136.697334010002,138.88603584660117,135.55503709540744,137.78496292459255,138.8999258391851,11.071800152723057,18.06116327701921,17.985488998840772,0.0,5.944728612657274,0.0,1.4280666494031584,TP2,True,0.07567427817843875,0.25,138.88603584660117,1.0
LONG,2022-01-12 05:55:00+00:00,2022-01-12 06:00:00+00:00,2022-01-12 06:05:00+00:00,140.318058010002,140.26193078679802,139.75852573424507,140.82147428575493,141.35294856150986,23.65018544443684,5.122711820953505,4.956784416296515,0.0,5.786421439581299,0.0,0.3871152066556968,STOP,True,0.16592740465698969,0.08333333333333333,140.80739213832635,1.0
LONG,2022-01-13 09:20:00+00:00,2022-01-13 09:25:00+00:00,2022-01-13 09:50:00+00:00,151.40027401000202,151.339713900398,150.8265209281918,151.91347909180823,152.45695817361644,23.241786866441014,5.083601949885025,4.907661304881963,0.0,5.7873645298974,0.0,0.38122115432723036,STOP,True,0.1759406450030618,0.4166666666666667,151.89828774389903,1.0
LONG,2022-01-14 21:15:00+00:00,2022-01-14 21:30:00+00:00,2022-01-14 23:20:00+00:00,147.51949801000202,146.04551839781263,146.10395998180536,148.87604003819467,150.26208006638933,9.157578781183679,-13.49808442048296,-13.633176562961687,0.0,0.0,0.0,-1.0412857746161606,STOP,False,0.13509214247872625,1.8333333333333333,,1.0
SHORT,2022-01-17 06:35:00+00:00,2022-01-17 06:50:00+00:00,2022-01-17 07:35:00+00:00,143.01139199000198,143.72405148221324,143.66658484827394,142.41341513172603,141.78683027345207,19.985092010561356,-14.242565524041941,-14.528375106789806,0.0,0.0,0.0,-1.0877094937983063,STOP,False,0.2858095827478647,0.75,,1.0
