side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps,fee_taker_rate_applied,fee_maker_rate_applied,fee_paid_usd,notional_usd,risk_per_trade,risk_usd,intended_risk_usd,effective_risk_usd,effective_risk_pct,position_notional,portfolio_risk_budget_hit,entry_fill_type,entry_slippage_bps_applied,exit_fill_type,exit_slippage_bps_applied,spread_half_bps_used,time_to_fill_steps_entry,time_to_fill_steps_exit
LONG,2017-08-21 14:50:00+00:00,2017-08-21 14:55:00+00:00,2017-08-21 18:50:00+00:00,335.79714601000205,327.65194390882834,327.783057131681,343.67694288831905,351.62388576663807,2.9785839810866293,-24.261168501269164,-24.261168501269164,0.0,0.0,0.0,-1.0163603405007569,STOP,False,0.0,3.9166666666666665,,1.5,0.0,0.0,0.0,1000.2,0.03,23.670636755971508,30.0,23.670636755971508,0.023670636755971506,1000.0,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-23 02:55:00+00:00,2017-08-23 03:00:00+00:00,2017-08-23 04:40:00+00:00,316.323252010002,324.1839973910051,312.273683872076,320.246316147924,324.232632285848,3.0852426214756163,18.103852866772588,18.103852866772588,0.0,5.977699523753437,0.0,1.4490153235837768,TP2,True,0.0,1.6666666666666667,324.1839973910051,1.5,0.0,0.0,0.0,975.9339792650306,0.03,12.298752451399217,29.272164944961926,12.298752451399217,0.012604553651419595,975.7388314987309,0,market,2.0,maker_try,24.49389528570715,1.5,0,0
LONG,2017-08-23 06:20:00+00:00,2017-08-23 06:25:00+00:00,2017-08-23 07:25:00+00:00,318.593706010002,318.466268527598,314.59301857564157,322.4669814443584,326.4039628787168,3.120091307990778,5.768218735570415,5.768218735570415,0.0,5.967027026150875,0.0,0.4621040715377491,STOP,True,0.0,1.0,322.4186113971417,1.5,0.0,0.0,0.0,994.0414529023766,0.03,12.283741553062757,29.815280530965104,12.283741553062757,0.012359845020044632,993.8426843655034,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-25 06:40:00+00:00,2017-08-25 06:50:00+00:00,2017-08-25 06:50:00+00:00,331.436274010002,329.43718618337147,329.56901378888705,333.170986231113,334.97197245222594,3.0166004860757094,-6.030449309521773,-6.030449309521773,0.0,0.0,0.0,-1.070599482613551,STOP,False,0.0,0.0,,1.5,0.0,0.0,0.0,999.8108252816941,0.03,5.432855910025023,29.988327093032215,5.432855910025023,0.005434970640246898,999.6109031010739,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-25 10:15:00+00:00,2017-08-25 10:20:00+00:00,2017-08-25 10:30:00+00:00,329.745936010002,329.61403763559804,328.38369418901584,330.9763058309842,332.27261165196836,3.013772305755321,1.5804598703520312,1.5804598703520312,0.0,1.7792157043284744,0.0,0.3849628548124544,STOP,True,0.0,0.16666666666666666,330.92665938510953,1.5,0.0,0.0,0.0,993.7791698823103,0.03,3.9067705830715163,29.80741361374656,3.9067705830715163,0.003932012317838064,993.580453791552,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-25 10:35:00+00:00,2017-08-25 10:45:00+00:00,2017-08-25 10:55:00+00:00,331.806348010002,328.2232405957129,328.3545824286844,335.1254175913156,338.51083517263123,2.99982188952766,-10.74868405391326,-10.74868405391326,0.0,0.0,0.0,-1.0380506236235634,STOP,False,0.0,0.16666666666666666,,1.5,0.0,0.0,0.0,995.3599458446365,0.03,10.155649765622346,29.854827409857123,10.155649765622346,0.010205032800426712,995.1609136619041,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-25 18:55:00+00:00,2017-08-25 19:05:00+00:00,2017-08-25 19:30:00+00:00,335.067000010002,331.2113531055784,331.34389066184315,338.65610935815687,342.31221870631373,2.9385439688913593,-11.329987957168674,-11.329987957168674,0.0,0.0,0.0,-1.0355986203656111,STOP,False,0.0,0.4166666666666667,,1.5,0.0,0.0,0.0,984.6091120539124,0.03,10.743638074633662,29.532366888239725,10.743638074633662,0.01091375924790365,984.4122296079909,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-27 00:00:00+00:00,2017-08-27 00:10:00+00:00,2017-08-27 01:30:00+00:00,333.056598010002,332.923375370798,330.23800436087294,335.7419956591271,338.4939913082542,2.9222566492134887,3.6554708754065524,3.6554708754065524,0.0,3.8501262470263917,0.0,0.44380531960420305,STOP,True,0.0,1.3333333333333333,335.6916343597782,1.5,0.0,0.0,0.0,973.2768580991524,0.03,8.042037584268206,29.192467249524665,8.042037584268206,0.008264499381496251,973.0822416508222,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-27 01:45:00+00:00,2017-08-27 01:50:00+00:00,2017-08-27 02:25:00+00:00,334.516890010002,334.383083253998,331.4681505199132,337.4318495000868,340.4136989901736,2.920429698002764,3.9871720700706628,3.9871720700706628,0.0,4.182558682084396,0.0,0.44781424676207016,STOP,True,0.0,0.5833333333333334,337.38123472266176,1.5,0.0,0.0,0.0,976.9330600687339,0.03,8.708281805823894,29.30213137578686,8.708281805823894,0.008915680938847795,976.7377125262287,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-29 08:25:00+00:00,2017-08-29 08:35:00+00:00,2017-08-29 09:05:00+00:00,355.071000010002,357.8090501984923,353.56863521103327,356.43136480896675,357.8627296079335,2.76260530864415,5.587300562140781,5.587300562140781,0.0,1.8052245691121236,0.0,1.3461944414266538,TP2,True,0.0,0.5,357.8090501984923,1.5,0.0,0.0,0.0,980.9210295732187,0.03,3.954295992231883,29.42174653788898,3.954295992231883,0.004032013518102591,980.7248845962994,0,market,2.0,maker_try,0.0,1.5,0,0
LONG,2017-08-29 11:50:00+00:00,2017-08-29 11:55:00+00:00,2017-08-29 12:20:00+00:00,358.711728010002,358.568243318798,356.3025963106757,360.9774037093243,363.31480740864856,2.750145508395435,2.8437115055585895,2.8437115055585895,0.0,3.0410133950776554,0.0,0.42920949447060636,STOP,True,0.0,0.4166666666666667,360.92325709876786,1.5,0.0,0.0,0.0,986.5094475954719,0.03,6.428200285003554,29.589365554753204,6.428200285003554,0.006517409377813713,986.3121851584402,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-29 16:25:00+00:00,2017-08-29 16:30:00+00:00,2017-08-29 17:40:00+00:00,367.473480010002,367.326490617998,362.25621392739424,372.5437860926057,377.68757217521147,2.6923132733725526,6.552330094043414,6.552330094043414,0.0,6.7502008396120825,0.0,0.46647372834901873,STOP,True,0.0,1.1666666666666667,372.4879045246918,1.5,0.0,0.0,0.0,989.3537278433317,0.03,13.848683545588447,29.674676899919966,13.848683545588447,0.014000506484664502,989.1558966639989,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-08-29 18:55:00+00:00,2017-08-29 19:00:00+00:00,2017-08-29 19:05:00+00:00,368.973780010002,372.527441938854,367.0583352958651,370.74166472413486,372.58332943826974,2.6991277493387122,7.106716173108417,7.106716173108417,0.0,2.310822411141903,0.0,1.3745986387420184,TP2,True,0.0,0.08333333333333333,372.527441938854,1.5,0.0,0.0,0.0,995.9073684033938,0.03,4.970888334899398,29.871246802741265,4.970888334899398,0.004992314215464776,995.7082267580422,0,market,2.0,maker_try,0.0,1.5,0,0
LONG,2017-08-30 00:30:00+00:00,2017-08-30 00:40:00+00:00,2017-08-30 04:50:00+00:00,370.91416801000196,378.551240027821,366.95598439874703,374.72401562125293,378.6080312325059,2.7041714564343353,15.401217813483253,15.401217813483253,0.0,5.0752417328234465,0.0,1.4388810810011219,TP2,True,0.0,4.166666666666667,378.551240027821,1.5,0.0,0.0,0.0,1003.0155059197367,0.03,10.503044152295582,30.084448287934517,10.503044152295582,0.010473561673897673,1002.8149429311505,0,market,2.0,maker_try,0.0,1.5,0,0
LONG,2017-08-31 06:05:00+00:00,2017-08-31 06:10:00+00:00,2017-08-31 06:35:00+00:00,383.006586010002,381.33751246862755,381.49010851203235,384.3698915079677,385.80978300593534,2.659013816410424,-4.4380896071197995,-4.4380896071197995,0.0,0.0,0.0,-1.1006253265274961,STOP,False,0.0,0.4166666666666667,,1.5,0.0,0.0,0.0,1018.4198039767828,0.03,3.8286913872279222,30.546484822339014,3.8286913872279222,0.0037601950694123275,1018.2161607446338,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-09-05 09:30:00+00:00,2017-09-05 09:35:00+00:00,2017-09-05 10:40:00+00:00,289.21783201000204,289.10214487719804,281.6860359129549,296.6339641070452,304.10792820409034,3.5059415932440676,12.71946822320269,12.71946822320269,0.0,12.922264388553033,0.0,0.4816878853417021,STOP,True,0.0,1.0833333333333333,296.5894690124291,1.5,0.0,0.0,0.0,1013.9808267517417,0.03,26.20328159424345,30.413342134125422,26.20328159424345,0.025847157617881738,1013.7780711375141,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-09-06 10:30:00+00:00,2017-09-06 10:35:00+00:00,2017-09-06 11:55:00+00:00,325.455078010002,334.5133266124082,320.80324444546045,329.97675557453954,334.5635111390791,3.1546683651285234,21.342009197416296,21.342009197416296,0.0,7.054124042676056,0.0,1.45431145223496,TP2,True,0.0,1.3333333333333333,334.5133266124082,1.5,0.0,0.0,0.0,1026.7028388685892,0.03,14.469692678030121,30.794926180821506,14.469692678030121,0.014096178629947394,1026.497539360717,0,market,2.0,maker_try,15.123675828063247,1.5,0,0
LONG,2017-09-07 10:55:00+00:00,2017-09-07 11:00:00+00:00,2017-09-07 13:55:00+00:00,328.48568401000205,336.7138502528996,324.24781756118216,332.5921824588179,336.76436490763575,3.1905473129718884,19.597579312223232,19.597579312223232,0.0,6.471402463741855,0.0,1.4494057343130164,TP2,True,0.0,2.9166666666666665,336.7138502528996,1.5,0.0,0.0,0.0,1048.049116467845,0.03,13.311545501304309,31.435186456743995,13.311545501304309,0.012703801378389943,1047.8395485581332,0,market,2.0,maker_try,0.0,1.5,0,0
LONG,2017-09-09 13:45:00+00:00,2017-09-09 13:50:00+00:00,2017-09-09 14:15:00+00:00,302.500488010002,301.1660884088027,301.2866030500227,303.59339696997733,304.74679392995466,3.5294178277842296,-4.709653741861056,-4.709653741861056,0.0,0.0,0.0,-1.099280117303731,STOP,False,0.0,0.4166666666666667,,1.5,0.0,0.0,0.0,1067.6506152959307,0.03,4.070819793056117,32.023113836110696,4.070819793056117,0.003813638936447534,1067.4371278703566,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-09-12 04:40:00+00:00,2017-09-12 04:45:00+00:00,2017-09-12 04:50:00+00:00,303.060600010002,304.45997399293714,302.2471750947934,303.7528249252066,304.5056498404132,3.507351399648257,3.5880835692728805,3.5880835692728805,0.0,1.1340354204334608,0.0,1.25766738647059,TP2,True,0.0,0.08333333333333333,304.45997399293714,1.5,0.0,0.0,0.0,1062.9400196233212,0.03,2.6404215200399075,31.881824223854863,2.6404215200399075,0.002484570677167467,1062.7274741284955,0,market,2.0,maker_try,11.155708893138934,1.5,0,0
LONG,2017-09-17 20:25:00+00:00,2017-09-17 20:30:00+00:00,2017-09-17 20:40:00+00:00,260.792148010002,260.687831150798,259.8096559378683,261.67034408213175,262.6006881542635,4.089574126167341,1.5021591828241618,1.5021591828241618,0.0,1.7154649469860312,0.0,0.37385984179903153,STOP,True,0.0,0.16666666666666666,261.6310935305194,1.5,0.0,0.0,0.0,1066.528820809308,0.03,3.8047110458230917,31.98946673093305,3.8047110458230917,0.00356809109494535,1066.3155576977683,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-09-18 09:05:00+00:00,2017-09-18 09:10:00+00:00,2017-09-18 09:40:00+00:00,288.85776001000204,284.68064281481765,284.79456063907327,292.80543938092677,296.8108787518535,3.697429767464052,-15.444597459660727,-15.444597459660727,0.0,0.0,0.0,-1.0280364840255387,STOP,False,0.0,0.5,,1.5,0.0,0.0,0.0,1068.0312804239688,0.03,14.809830761837057,32.03453150641778,14.809830761837057,0.013869249898850619,1067.8177168805926,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-09-23 12:30:00+00:00,2017-09-23 12:35:00+00:00,2017-09-23 12:45:00+00:00,279.05580001000203,278.944177689998,278.23541381715637,279.76458620284365,280.5291723956873,3.771946664455958,1.0470908568096275,1.0470908568096275,0.0,1.2576075756186207,0.0,0.3383767241263267,STOP,True,0.0,0.16666666666666666,279.7226215149132,1.5,0.0,0.0,0.0,1052.583594044816,0.03,2.8839783397856382,31.571193582627952,2.8839783397856382,0.002740452304000835,1052.3731194209317,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-09-23 19:10:00+00:00,2017-09-23 19:15:00+00:00,2017-09-23 19:50:00+00:00,280.035996010002,284.11984090828616,277.8887673759611,282.07123264403896,284.1624652780779,3.7624837854136595,11.431875890554522,11.431875890554522,0.0,3.749175784585307,0.0,1.4150265023218518,TP2,True,0.0,0.5833333333333334,284.11984090828616,1.5,0.0,0.0,0.0,1053.6308943197969,0.03,7.8682288770993765,31.602606308332238,7.8682288770993765,0.00746922149426473,1053.4202102777413,0,market,2.0,maker_try,30.882775147853877,1.5,0,0
LONG,2017-09-24 12:55:00+00:00,2017-09-24 13:00:00+00:00,2017-09-24 14:30:00+00:00,283.056600010002,282.943377369998,280.09313636938526,285.90686365061475,288.8137272912295,3.762728219542998,5.0686864687169235,5.0686864687169235,0.0,5.281699480033995,0.0,0.45456184009405654,STOP,True,0.0,1.5,285.86397762106714,1.5,0.0,0.0,0.0,1065.0650565855294,0.03,10.937737850904597,31.945562585048872,10.937737850904597,0.01027160297000717,1064.8520861682957,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-01 21:35:00+00:00,2017-10-01 21:45:00+00:00,2017-10-02 00:15:00+00:00,302.550498010002,302.429477810798,299.5181859980444,305.46181402195566,308.4336280339113,3.5370451010005026,4.853668651452008,4.853668651452008,0.0,5.067695602810309,0.0,0.45253861242243254,STOP,True,0.0,2.5,305.41599474985236,1.5,0.0,0.0,0.0,1070.13475679154,0.03,10.511440192072358,32.09762317911037,10.511440192072358,0.009824503328564245,1069.9207726370125,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-02 01:30:00+00:00,2017-10-02 01:45:00+00:00,2017-10-02 02:05:00+00:00,301.91037001000205,304.6662759722496,300.4190086301675,303.28099138983254,304.71198276966504,3.5606242877351604,7.2655165143067535,7.2655165143067535,0.0,2.3591436623603905,0.0,1.368224780576768,TP2,True,0.0,0.3333333333333333,304.6662759722496,1.5,0.0,0.0,0.0,1074.9893961767223,0.03,5.0952226625712695,32.243233238653936,5.0952226625712695,0.004740736722826232,1074.7744412884645,0,market,2.0,maker_try,0.0,1.5,0,0
LONG,2017-10-02 05:40:00+00:00,2017-10-02 05:45:00+00:00,2017-10-02 07:00:00+00:00,301.780344010002,301.659631872398,299.8836529383002,303.55634708169987,305.3926941533997,3.5862387570161363,2.8864873357291585,2.8864873357291585,0.0,3.102938608888053,0.0,0.4243594294423526,STOP,True,0.0,1.25,303.5108136296376,1.5,0.0,0.0,0.0,1082.2563657943317,0.03,6.585579039863033,32.46119873408313,6.585579039863033,0.006086262334744037,1082.0399578027711,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-03 03:30:00+00:00,2017-10-03 03:35:00+00:00,2017-10-03 04:25:00+00:00,298.53969601000205,298.420280131598,296.72279168923603,300.237208330764,301.994416651528,3.634837996187858,2.7862139342124825,2.7862139342124825,0.0,3.0032426202980353,0.0,0.4218881653773509,STOP,True,0.0,0.8333333333333334,300.1921727495144,1.5,0.0,0.0,0.0,1085.143430427528,0.03,6.387167571530425,32.54779335415501,6.387167571530425,0.005887189495795769,1084.9264451385004,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-04 00:35:00+00:00,2017-10-04 00:40:00+00:00,2017-10-04 01:20:00+00:00,292.758540010002,292.641436593998,290.73692608258386,294.66307393741613,296.62614786483226,3.716134810507522,3.23904079442501,3.23904079442501,0.0,3.456626834745913,0.0,0.43114835792259476,STOP,True,0.0,0.6666666666666666,294.6188744763255,1.5,0.0,0.0,0.0,1087.9302016045274,0.03,7.295047357270808,32.63137977218139,7.295047357270808,0.006706778023057961,1087.712659072713,0,market,2.0,market,4.0,1.5,0,0
LONG,2017-10-04 03:00:00+00:00,2017-10-04 03:15:00+00:00,2017-10-04 04:00:00+00:00,293.368662010002,295.8433245467521,292.02114616354623,294.5988538564538,295.88770770290756,3.7194493874397176,6.807828268587988,6.807828268587988,0.0,2.205637240370422,0.0,1.3583011156238318,TP2,True,0.0,0.75,295.8433245467521,1.5,0.0,0.0,0.0,1091.1698902071116,0.03,4.793826649691821,32.72855099601414,4.793826649691821,0.0043941694671502315,1090.9516998671381,0,market,2.0,maker_try,0.0,1.5,0,0
