event_type,symbol,interval,open_ts,close_ts,open,high,low,close,volume,raw_schema
candle,SOLUSDT,5m,1770181200000,1770181499999,98.01,98.06,97.76,97.91,341565.0,schema_a:data
candle,SOLUSDT,5m,1770182100000,1770182399999,98.31,98.37,97.8,97.8,305702.0,schema_a:data
candle,SOLUSDT,5m,1770246900000,1770247199999,90.98,92.2,90.68,91.32,13075300.615,mexc:push.kline
candle,SOLUSDT,5m,1770247500000,1770247799999,91.69,92.11,91.68,92.09,6790122.109,mexc:push.kline
candle,SOLUSDT,5m,1770250200000,1770250499999,92.07,92.28,91.8,91.84,5667146.453,mexc:push.kline
candle,SOLUSDT,5m,1770256500000,1770256799999,91.84,92.0,91.81,91.87,2728876.113,mexc:push.kline
candle,SOLUSDT,5m,1770259200000,1770259499999,92.49,92.54,92.28,92.4,2755330.431,mexc:push.kline
candle,SOLUSDT,5m,1770259500000,1770259799999,92.4,92.44,91.2,91.29,8881823.864,mexc:push.kline
candle,SOLUSDT,5m,1770259800000,1770260099999,91.29,91.49,90.96,91.23,7766956.228,mexc:push.kline
candle,SOLUSDT,5m,1770260100000,1770260399999,91.23,91.45,90.68,90.85,8426180.27,mexc:push.kline
candle,SOLUSDT,5m,1770260400000,1770260699999,90.85,91.24,90.72,90.87,6754943.708,mexc:push.kline
candle,SOLUSDT,5m,1770260700000,1770260999999,90.87,91.36,90.25,91.34,9873695.472,mexc:push.kline
candle,SOLUSDT,5m,1770261000000,1770261299999,91.35,91.62,90.73,90.8,5479849.684,mexc:push.kline
candle,SOLUSDT,5m,1770261300000,1770261599999,90.8,90.87,90.2,90.69,10081078.814,mexc:push.kline
candle,SOLUSDT,5m,1770261600000,1770261899999,90.69,91.66,90.68,91.15,7308431.467,mexc:push.kline
candle,SOLUSDT,5m,1770261900000,1770262199999,91.15,91.3,90.83,90.94,4454784.26,mexc:push.kline
candle,SOLUSDT,5m,1770262200000,1770262499999,90.94,90.98,90.66,90.87,4256359.402,mexc:push.kline
candle,SOLUSDT,5m,1770262500000,1770262799999,90.87,91.02,90.62,90.88,3731090.918,mexc:push.kline
candle,SOLUSDT,5m,1770262800000,1770263099999,90.88,91.31,90.87,91.0,6051823.945,mexc:push.kline
candle,SOLUSDT,5m,1770263100000,1770263399999,91.0,91.17,90.77,90.96,2568600.367,mexc:push.kline
candle,SOLUSDT,5m,1770263400000,1770263699999,90.97,91.06,90.74,90.99,3239189.851,mexc:push.kline
candle,SOLUSDT,5m,1770263700000,1770263999999,90.99,91.17,90.88,91.11,2393308.492,mexc:push.kline
candle,SOLUSDT,5m,1770264000000,1770264299999,91.11,91.26,90.89,90.91,3387519.867,mexc:push.kline
candle,SOLUSDT,5m,1770264300000,1770264599999,90.91,91.18,90.44,91.06,5868121.687,mexc:push.kline
candle,SOLUSDT,5m,1770264600000,1770264899999,91.06,91.61,90.27,90.48,8160543.707,mexc:push.kline
candle,SOLUSDT,5m,1770264900000,1770265199999,90.48,91.0,90.28,90.81,4702595.611,mexc:push.kline
candle,SOLUSDT,5m,1770265200000,1770265499999,90.81,91.48,90.81,91.01,4906882.662,mexc:push.kline
candle,SOLUSDT,5m,1770265500000,1770265799999,91.01,91.3,90.61,91.02,3736985.833,mexc:push.kline
candle,SOLUSDT,5m,1770265800000,1770266099999,91.02,91.03,90.54,90.63,5059881.35,mexc:push.kline
candle,SOLUSDT,5m,1770266100000,1770266399999,90.63,91.11,90.62,90.88,2863205.161,mexc:push.kline
candle,SOLUSDT,5m,1770266400000,1770266699999,90.88,91.88,90.87,91.79,6488496.676,mexc:push.kline
candle,SOLUSDT,5m,1770266700000,1770266999999,91.78,91.82,91.37,91.38,3928145.936,mexc:push.kline
candle,SOLUSDT,5m,1770267000000,1770267299999,91.38,91.57,91.04,91.04,2601209.829,mexc:push.kline
candle,SOLUSDT,5m,1770267300000,1770267599999,91.05,91.15,90.79,91.08,3718662.014,mexc:push.kline
candle,SOLUSDT,5m,1770267600000,1770267899999,91.08,91.29,91.05,91.26,3860662.249,mexc:push.kline
candle,SOLUSDT,5m,1770267900000,1770268199999,91.26,91.37,90.86,90.98,3888218.882,mexc:push.kline
candle,SOLUSDT,5m,1770268200000,1770268499999,90.98,91.65,90.9,91.43,3467353.63,mexc:push.kline
candle,SOLUSDT,5m,1770268500000,1770268799999,91.43,91.74,90.96,91.07,4574990.899,mexc:push.kline
candle,SOLUSDT,5m,1770268800000,1770269099999,91.07,91.1,89.88,90.21,11068176.397,mexc:push.kline
candle,SOLUSDT,5m,1770269100000,1770269399999,90.2,90.77,89.95,90.24,7884366.023,mexc:push.kline
candle,SOLUSDT,5m,1770310200000,1770310499999,84.73,86.12,84.7,85.75,17090974.437,mexc:push.kline
candle,SOLUSDT,5m,1770310500000,1770310799999,85.77,85.91,85.01,85.48,12023485.871,mexc:push.kline
candle,SOLUSDT,5m,1770310800000,1770311099999,85.49,85.67,84.6,84.67,9374611.985,mexc:push.kline
candle,SOLUSDT,5m,1770311100000,1770311399999,84.67,84.97,83.96,83.96,12433886.108,mexc:push.kline
candle,SOLUSDT,5m,1770311400000,1770311699999,83.99,84.22,83.67,84.01,16211327.907,mexc:push.kline
candle,SOLUSDT,5m,1770311700000,1770311999999,84.01,84.08,82.79,82.88,21691106.428,mexc:push.kline
candle,SOLUSDT,5m,1770312000000,1770312299999,82.84,84.48,82.37,84.48,26351214.23,mexc:push.kline
candle,SOLUSDT,5m,1770312300000,1770312599999,84.39,84.8,83.93,84.22,12465535.481,mexc:push.kline
candle,SOLUSDT,5m,1770312600000,1770312899999,84.19,84.47,82.87,83.17,13948756.176,mexc:push.kline
candle,SOLUSDT,5m,1770312900000,1770313199999,83.19,83.85,83.1,83.4,8215256.224,mexc:push.kline
candle,SOLUSDT,5m,1770313200000,1770313499999,83.4,84.17,83.24,83.53,12567257.238,mexc:push.kline
candle,SOLUSDT,5m,1770313500000,1770313799999,83.54,83.97,83.06,83.25,9975221.068,mexc:push.kline
candle,SOLUSDT,5m,1770313800000,1770314099999,83.25,83.62,82.77,82.82,9409155.33,mexc:push.kline
candle,SOLUSDT,5m,1770314100000,1770314399999,82.8,82.92,82.52,82.63,11718736.031,mexc:push.kline
candle,SOLUSDT,5m,1770314400000,1770314699999,82.63,83.28,82.34,82.66,14431891.582,mexc:push.kline
candle,SOLUSDT,5m,1770314700000,1770314999999,82.68,83.07,82.57,82.8,6610063.503,mexc:push.kline
candle,SOLUSDT,5m,1770315000000,1770315299999,82.8,83.08,82.69,82.86,5819043.896,mexc:push.kline
candle,SOLUSDT,5m,1770315300000,1770315599999,82.86,83.02,81.91,82.27,19719764.187,mexc:push.kline
candle,SOLUSDT,5m,1770315600000,1770315899999,82.26,82.68,81.51,82.57,22545278.293,mexc:push.kline
candle,SOLUSDT,5m,1770315900000,1770316199999,82.58,82.68,81.62,81.96,13315271.758,mexc:push.kline
candle,SOLUSDT,5m,1770316200000,1770316499999,81.95,82.22,81.14,81.65,14269032.537,mexc:push.kline
candle,SOLUSDT,5m,1770316500000,1770316799999,81.63,81.97,81.28,81.5,9892987.51,mexc:push.kline
candle,SOLUSDT,5m,1770316800000,1770317099999,81.5,81.86,81.22,81.41,11153790.356,mexc:push.kline
candle,SOLUSDT,5m,1770317100000,1770317399999,81.41,81.91,81.19,81.72,11501807.515,mexc:push.kline
candle,SOLUSDT,5m,1770317400000,1770317699999,81.72,82.48,81.55,82.22,11272605.103,mexc:push.kline
candle,SOLUSDT,5m,1770317700000,1770317999999,82.19,83.17,82.09,82.88,17500746.888,mexc:push.kline
candle,SOLUSDT,5m,1770318000000,1770318299999,82.9,83.18,82.34,82.66,15514429.62,mexc:push.kline
candle,SOLUSDT,5m,1770318300000,1770318599999,82.63,83.24,82.34,82.36,14446125.725,mexc:push.kline
candle,SOLUSDT,5m,1770318600000,1770318899999,82.36,82.96,82.18,82.58,13311620.254,mexc:push.kline
candle,SOLUSDT,5m,1770318900000,1770319199999,82.55,83.04,82.38,82.74,12542804.748,mexc:push.kline
candle,SOLUSDT,5m,1770319200000,1770319499999,82.78,82.82,81.99,82.17,9184291.883,mexc:push.kline
candle,SOLUSDT,5m,1770319500000,1770319799999,82.16,82.19,81.65,82.08,10272585.607,mexc:push.kline
candle,SOLUSDT,5m,1770319800000,1770320099999,82.08,82.67,81.93,82.56,10341646.599,mexc:push.kline
